Bits	Prep	Calc	Clean	Pre_Cuda	 Post_CUDA	GPU	CPU			
7704	0,003497	0,000235	0,000316	0,002120	0,000172	0,006347	0,000012			
7728	0,003774	0,000241	0,000337	0,002128	0,000173	0,006660	0,000012			
7752	0,003666	0,000251	0,000328	0,002126	0,000173	0,006552	0,000012			
7776	0,003564	0,000248	0,000322	0,002132	0,000173	0,006447	0,000012			
7800	0,003699	0,000252	0,000330	0,002162	0,000175	0,006624	0,000012			
7824	0,003157	0,000220	0,000286	0,002153	0,000175	0,005998	0,000012			
7848	0,003218	0,000211	0,000313	0,002163	0,000174	0,006087	0,000012			
7872	0,002244	0,000210	0,000204	0,002173	0,000175	0,005014	0,000012			
7896	0,003594	0,000239	0,000325	0,002209	0,000179	0,006553	0,000012			
7920	0,003490	0,000229	0,000309	0,002196	0,000178	0,006409	0,000012			
7944	0,002954	0,000215	0,000269	0,002205	0,000178	0,005829	0,000012			
7968	0,003516	0,000247	0,000315	0,002220	0,000179	0,006485	0,000012			
7992	0,003626	0,000282	0,000324	0,002230	0,000179	0,006648	0,000012			
8016	0,002208	0,000186	0,000216	0,002241	0,000181	0,005041	0,000012			
8040	0,003092	0,000254	0,000279	0,002249	0,000181	0,006063	0,000012			
8064	0,003782	0,000275	0,000336	0,002286	0,000185	0,006872	0,000012			
8088	0,003733	0,000235	0,000333	0,002271	0,000181	0,006760	0,000012			
8112	0,002006	0,000212	0,000190	0,002282	0,000182	0,004880	0,000012			
8136	0,002352	0,000177	0,000230	0,002299	0,000183	0,005249	0,000011			
8160	0,002799	0,000206	0,000256	0,002308	0,000183	0,005759	0,000012			
8184	0,002334	0,000204	0,000222	0,002311	0,000183	0,005262	0,000011			
8208	0,003671	0,000223	0,000326	0,002326	0,000184	0,006737	0,000022			
8232	0,002253	0,000214	0,000205	0,002347	0,000185	0,005211	0,000022			
8256	0,002680	0,000207	0,000252	0,002361	0,000185	0,005693	0,000022			
8280	0,003603	0,000221	0,000320	0,002369	0,000186	0,006707	0,000022			
8304	0,002324	0,000192	0,000210	0,002365	0,000189	0,005288	0,000022			
8328	0,001704	0,000151	0,000177	0,002374	0,000186	0,004600	0,000022			
8352	0,003732	0,000221	0,000331	0,002400	0,000188	0,006880	0,000022			
8376	0,002633	0,000208	0,000241	0,002412	0,000188	0,005690	0,000022			
8400	0,003572	0,000218	0,000317	0,002417	0,000188	0,006720	0,000022			
8424	0,003753	0,000226	0,000339	0,002432	0,000190	0,006947	0,000022			
8448	0,003671	0,000229	0,000324	0,002435	0,000190	0,006858	0,000022			
8472	0,003353	0,000226	0,000298	0,002474	0,000192	0,006550	0,000022			
